2015 02 25    09:00:00

1	09:00:01	1-ABC-11
1	09:00:02	2-ABC-12
1	09:00:03	3-ABC-13
1	09:00:11	4-ABC-14
2	09:00:16	1-ABC-11
2	09:00:17	2-ABC-12
2	09:00:18	3-ABC-13
1	09:00:19	5-ABC-15
1	09:00:22	6-ABC-16
2	09:00:23	5-ABC-15
1	09:00:24	7-ABC-17
2	09:00:26	4-ABC-14
1	09:00:30	8-ABC-18
1	09:00:33	9-ABC-19
2	09:00:37	6-ABC-16
1	09:00:38	0-ABC-20
2	09:00:39	7-ABC-17
1	09:00:42	1-ABC-21
2	09:00:43	8-ABC-18
1	09:00:46	2-ABC-22
2	09:00:47	0-ABC-20
2	09:00:49	9-ABC-19
1	09:00:53	3-ABC-23
1	09:00:57	4-ABC-24
2	09:00:59	1-ABC-21	
1	09:01:00	5-ABC-25
2	09:01:01	2-ABC-22
1	09:01:06	6-ABC-26
2	09:01:09	3-ABC-23
1	09:01:09	7-ABC-27
2	09:01:10	4-ABC-24
2	09:01:19	5-ABC-25
1	09:01:20	8-ABC-28
2	09:01:21	6-ABC-26
1	09:01:28	9-ABC-29
2	09:01:29	7-ABC-27
1	09:01:38	0-ABC-30
1	09:01:48	1-ABC-31
1	09:01:53	2-ABC-32
1	09:01:59	3-ABC-33

2015 02 25    09:02:00
